sex,x,L,M,S
M,200,1,68.5198,0.03149
M,201,1,68.5699,0.03148
M,202,1,68.6199,0.03147
M,203,1,68.6698,0.03147
M,204,1,68.7195,0.03146
M,205,1,68.7691,0.03145
M,206,1,68.8186,0.03144
M,207,1,68.8679,0.03144
M,208,1,68.9171,0.03143
M,209,1,68.9662,0.03142
M,210,1,69.0152,0.03141
M,211,1,69.0641,0.03141
M,212,1,69.1128,0.0314
M,213,1,69.1615,0.03139
M,214,1,69.21,0.03139
M,215,1,69.2584,0.03138
M,216,1,69.3067,0.03137
M,217,1,69.3549,0.03137
M,218,1,69.4031,0.03136
M,219,1,69.4511,0.03136
M,220,1,69.499,0.03135
M,221,1,69.5468,0.03134
M,222,1,69.5945,0.03134
M,223,1,69.6421,0.03133
M,224,1,69.6896,0.03133
M,225,1,69.737,0.03132
M,226,1,69.7844,0.03132
M,227,1,69.8316,0.03131
M,228,1,69.8787,0.03131
M,229,1,69.9258,0.0313
M,230,1,69.9728,0.0313
M,231,1,70.0197,0.03129
M,232,1,70.0665,0.03129
M,233,1,70.1132,0.03128
M,234,1,70.1599,0.03128
M,235,1,70.2064,0.03127
M,236,1,70.2529,0.03127
M,237,1,70.2994,0.03126
M,238,1,70.3457,0.03126
M,239,1,70.392,0.03126
M,240,1,70.4382,0.03125
M,241,1,70.4843,0.03125
M,242,1,70.5304,0.03125
M,243,1,70.5764,0.03124
M,244,1,70.6224,0.03124
M,245,1,70.6683,0.03123
M,246,1,70.7141,0.03123
M,247,1,70.7598,0.03123
M,248,1,70.8055,0.03122
M,249,1,70.8511,0.03122
M,250,1,70.8967,0.03122
M,251,1,70.9422,0.03122
M,252,1,70.9876,0.03121
M,253,1,71.033,0.03121
M,254,1,71.0783,0.03121
M,255,1,71.1235,0.03121
M,256,1,71.1687,0.0312
M,257,1,71.2138,0.0312
M,258,1,71.2589,0.0312
M,259,1,71.3039,0.0312
M,260,1,71.3488,0.03119
M,261,1,71.3937,0.03119
M,262,1,71.4385,0.03119
M,263,1,71.4832,0.03119
M,264,1,71.5279,0.03119
M,265,1,71.5725,0.03118
M,266,1,71.6171,0.03118
M,267,1,71.6616,0.03118
M,268,1,71.706,0.03118
M,269,1,71.7504,0.03118
M,270,1,71.7947,0.03118
M,271,1,71.839,0.03118
M,272,1,71.8832,0.03118
M,273,1,71.9273,0.03117
M,274,1,71.9714,0.03117
M,275,1,72.0154,0.03117
M,276,1,72.0594,0.03117
M,277,1,72.1033,0.03117
M,278,1,72.1472,0.03117
M,279,1,72.1909,0.03117
M,280,1,72.2347,0.03117
M,281,1,72.2783,0.03117
M,282,1,72.3219,0.03117
M,283,1,72.3655,0.03117
M,284,1,72.4089,0.03117
M,285,1,72.4523,0.03117
M,286,1,72.4957,0.03117
M,287,1,72.539,0.03117
M,288,1,72.5822,0.03117
M,289,1,72.6253,0.03117
M,290,1,72.6684,0.03117
M,291,1,72.7115,0.03117
M,292,1,72.7544,0.03117
M,293,1,72.7974,0.03117
M,294,1,72.8402,0.03117
M,295,1,72.883,0.03117
M,296,1,72.9257,0.03117
M,297,1,72.9684,0.03117
M,298,1,73.011,0.03117
M,299,1,73.0535,0.03118
M,300,1,73.096,0.03118
M,301,1,73.1384,0.03118
M,302,1,73.1808,0.03118
M,303,1,73.2231,0.03118
M,304,1,73.2653,0.03118
M,305,1,73.3075,0.03118
M,306,1,73.3497,0.03118
M,307,1,73.3917,0.03119
M,308,1,73.4337,0.03119
